Unemp_Rate,Per_Cap_Pers_Income,DATE,Housing_Price_Index,Median_Income,Rental_Vac_Rate,Consumption_HH,Income_Ineq_SL,Active_List_UT_County,Med_Price_Per_SQF,SNAP,Med_Days_Mkt,Active_List_SL,Housing_Auth,Educ_Attain,Net_Mig_Flow_UT_County,Percent_Single,Med_Income_SL,GDP,Population,,136.5
7.8,32267.5,10/1/09,328.61,70738,8.3,72526.6,,,,220130,,,,28.5,4414.5,21.9154925,56954,114145.6,2753.0865,,
8,32226,1/1/10,323.64,67461,7.2,74655.6,10.90064516,,,232939,,,,29.3,3300,21.7395215,56664,116383.5,2775.413,,9.846
8,32362.5,4/1/10,318.97,67461,7.2,74655.6,10.90064516,,,260723,,,,29.3,3300,21.7395215,56664,116819.7,2785.3015,,
7.9,32499,7/1/10,321.7,67461,7.2,74655.6,10.90064516,,,262628,,,,29.3,3300,21.7395215,56664,119234,2795.19,,
7.9,32635.5,10/1/10,319.98,67461,7.2,74655.6,10.90064516,,,271868,,,,29.3,3300,21.7395215,56664,122242,2805.0785,,
7.8,34232,1/1/11,305.77,64006,6.4,78041.7,11.26752994,,,286598,,,,29.7,1839,22.08024849,56166,123234.6,2814.797,,9.83725
7.7,34368.5,4/1/11,299.17,64006,6.4,78041.7,11.26752994,,,283704,,,,29.7,1839,22.08024849,56166,125661.1,2824.6855,,
7.4,34505,7/1/11,304.66,64006,6.4,78041.7,11.26752994,,,279293,,,,29.7,1839,22.08024849,56166,126310.4,2834.574,,
6.2,34641.5,10/1/11,306.04,64006,6.4,78041.7,11.26752994,,,285695,,,,29.7,1839,22.08024849,56166,127053.8,2844.4625,,
5.3,36085,1/1/12,305.3,65895,7.7,81993,11.75658111,,,285527,,,,30.7,2010.25,23.28403859,58743,129079.6,2854.146,,11.15675
4.8,36221.5,4/1/12,303.69,65895,7.7,81993,11.75658111,,,280865,,,,30.7,2010.25,23.28403859,58743,129035,2864.0345,,
4.8,36358,7/1/12,310.09,65895,7.7,81993,11.75658111,,,257736,,,,30.7,2010.25,23.28403859,58743,129025.8,2873.923,,
4.6,36494.5,10/1/12,315.44,65895,7.7,81993,11.75658111,,,257744,,,,30.7,2010.25,23.28403859,58743,130909.6,2883.8115,,
